"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"212","Skill","On the Hunt","Huntsman","-","1","1","+","","","","Slow","","","Instant Travel","Choose one: - {Travel} up to two tiles towards target opponent. - The next time an opponent leaves a tile this turn, {Travel} up to two tiles towards them.","","Wayne Reynolds","c1ab0fb8eb7b4aba935b2375925d2db5","Green","Black","S2","Spec",""
"213","Skill","Runecarve","Huntsman","","0","1","+","1","","","","","Disarm","Debuff Attack","Choose one: - Deal 2 damage to target enemy. - {Silence 1} [i] them.","One drop spilled for every spirit sent to the Wintersea.","Wasan Techawibulchai","f82627a307944d7bb45d31dfbc732f33","Green","Black","S2","Spec",""
"214","Skill","Runecarve Etch","Huntsman","","0","1","+","1","","","","Silence","","Aura","{Attach} to target opponent whom the last card you resolved against this turn was {Runic Slaughter}. After you resolve your first {Attack} card targeting them during your turn, deal 2 damage to and {Silence 1} [i] them.","The runes Huntsmen etch sap the magic from their victims.","Uros Sljivic","8c5cb9ddb2ba4f22872df857097f8a26","Green","Black","S2","Spec",""
"215","Skill","Runeshock","Huntsman","","0","1","-","2","","","","","Disarm","Debuff","{Silence 1} [i] and {Disarm 1} [d] target opponent.","The Gravebringer Runes are ancient artifacts unearthed and exploited by Huntsmen.","Wojtek Depczynski","e435a2629085438db2b061130a46a1f0","Green","Black","S2","Spec",""
"216","Skill","Runesight","Huntsman","-","1","2","-","","","H","","","","Ability","Gain [n] [n].","Watchers think the Huntsmen unable to see clearly, but are not privy to their secrets.","Wadim Kashin","0c09b0e711ef4dd494be8c3c1bdb024f","Green","Black","S2","Spec",""
"217","Skill","Runesight Etch","Huntsman","","0","1","+","1","","","","Silence","","Aura","{Attach} to target opponent whom the last card you resolved against this turn was {Runic Slaughter}. After you resolve your first {Attack} card targeting them during your turn, gain [n].","The Watchers envy the second sight of the Huntsmen, though few would admit it.","Dario Marzadori","28ad2d87b99f466dbe26f6ee64be7666","Green","Black","S2","Spec",""
"218","Skill","Savagery","Huntsman","-","2","2","+","","","","","Silence","","Aura","{Attach} to yourself. At the start of your turn, you may choose one: - {Travel} up to one tile towards target opponent. - Play a copy of {Runic Slaughter} for {Free}.","","Wojtek Depcyznski","1712967a3a2b47b0bd2c9c98d51ca2ee","Green","Black","S2","Spec",""
"219","Skill","Spoil","Huntsman","-","1","1","+","2","","","","Silence","","Ability","Choose one: - {Destroy} target card. - Target opponent discards two cards.","The Huntsmen's work is grisly, but some see it as necessary.","Wojtek Depczynski","2092321bb7bc4d94a0b4054fad5d119b","Green","Black","S2","Spec",""
"220","Skill","Waystone","Huntsman","-","1","1","+","2","","","","Silence","","Aura","{Attach} to target empty tile. At the end of your turn, apply an instance of a {Control} type of your choice to each opponent {near} {Waystone}.","""What's all this, then? A magic rock inna forest?!"" — Garth of Sule","Dario Marzadori","d31c2b7355c14b0b9971609fe9302e55","Green","Black","S2","Spec",""
"221","Skill","Crushing Weight","Steward","","0","3","-","","","","","Silence","","Aura","{Attach} to yourself. After you resolve your first {Attack} card targeting an opponent during your turn, {Stun} them. <(They lose a resource of their choice.)> After you {Stun} an opponent, deal 1 damage to them.","","Wasan Techawibulchai","d667b844ea244e89bba6aae68b91d8af","Gray","","S2","Spec",""
"222","Skill","Determination","Steward","","0","1","+","","","","","Silence","","Ability","{Frenzy} - draw a card.","A strong arm is good in a fight, but willpower is worth far more.","Wojtek Depczynski","2cbe5bc9a6ad4ade843e22b70abac815","Gray","","S2","Spec",""
"223","Skill","Hammer and Anvil","Steward","-","1","4","-","1","","","","","Disarm","Debuff Attack","Deal 11 damage to target enemy. {Slow 2} [o] them. {Disarm 2} [d] them.","""Why do we fight Aesyr? Because we're the only ones who can.""","Wojtek Depczynski","52900400fff941c8801c10de2e98e302","Gray","","S2","Spec",""
"224","Skill","Hammer Strike","Steward","-","1","1","+","1","","H","","","","Attack","Deal 5 damage to target enemy.","Hammers are forged only for the Stewards, guardians of the clans.","Piotr Arendzikowski","89aebae336e5467c9a9bc956dd1f902a","Gray","","S2","Spec",""
"225","Skill","Reflect","Steward","-","1","3","-","","","","Slow","Silence","","Instant Ability","{Counter} target card targeting you unless its controller pays 3 {Resources}. If that card is {Countered}, you may play that card for {Free}.","","Wojtek Depczynski","d44f22c68efd46d384e9817a5b719c0e","Gray","","S2","Spec",""
"226","Skill","Shield Bash","Steward","-","1","1","+","1","","","Slow","","Disarm","Instant Debuff Buff","{Disarm 2} [d] target opponent. Gain [mi] [mi] [mi].","Disputes between clans are short lived, as no clan has the resources for war. Traditionally, a single battle is fought to prove the victor.","Simon Tjong","53fbfbf3b91941f3a797cea277b00b42","Gray","","S2","Spec",""
"227","Skill","Shield Wall","Steward","-","2","2","+","1","","","Slow","","Disarm","Instant Buff","Target player gains [mi] [mi] [mi] [mi] [mi] [mi]. This can cause them to exceed their max [mi].","","Wasan Techawibulchai","e2e40eb4111b4cf7bf1e01e2b5f3dd6e","Gray","","S2","Spec",""
"228","Skill","Shrug Off","Steward","","0","1","-","","","H","","","","Instant Ability","Choose one: - {Destroy} target card {attached} to you. - {Counter} target {Attack} card targeting you unless its controller spends 1 {Resource}.","","Andrey Petukhov","85fdb461e49c4e09bc866d8e93bb3c98","Gray","","S2","Spec",""
"229","Skill","Split Bone","Steward","-","1","1","+","1","","","","Silence","Disarm","Ability Debuff","{Stun} target opponent. <(They lose a resource of their choice.)> {Slow 2} [o] them.","No matter the clan, a wounded warrior is never left to the Winter.","Simon Tjong","ef402e18d83f4b19a25104882f0d4d07","Gray","","S2","Spec",""
"230","Skill","Steward's Banner","Steward","-","1","1","+","2","","H","","","","Aura","{Attach} to target empty tile. At the start of your turn, if you're {near} {Banner of the Steward}, gain [mi].","Each clan has their own vaunted symbolism.","Wojtek Depczynski","ecb3766c0a5243d4a73c90a00720c59c","Gray","","S2","Spec",""
"231","Skill","Axe Strikes","Survivalist","-","2","2","+","1","","","","","Disarm","Attack","Deal 4 damage to target enemy. After {Axe Strikes} is sent to your discard, deal 3 damage to target enemy.","If you lose your axes, grab some rocks. If you lose your rocks, you deserve what you get.","Septimius Ferdian","b49cccd3458d40e9b3a2ec4a0a8974e2","Gray","Green","S2","Spec",""
"232","Skill","Hidden Cache","Survivalist","","0","1","-","","","","","Silence","Disarm","Ability Buff","{Attach} to target empty tile at least three tiles away from you. After you enter {Hidden Cache}, heal yourself 3 HP and draw a card, then {Reattach} it to an empty tile at least three tiles away from you.","Useful supplies are cached all around the isles for fellow survivalists to find.","Dario Marzadori","c9c5979f7f3d484a96a585a6bcec1437","Gray","Green","S2","Spec",""
"233","Skill","Ice Pick","Survivalist","-","1","1","+","1","","","","Silence","","Ability","{Destroy} up to one target card. After {Ice Pick} is sent to your discard, deal 2 damage to target enemy.","Not just for climbing.","Wasan Techawibulchai","d61c11bc54884111936be038d319b559","Gray","Green","S2","Spec",""
"234","Skill","Javelin Throw","Survivalist","-","1","1","-","2","","","","","Disarm","Debuff Attack","Deal 6 damage to target enemy. After {Javelin Throw} is sent to your discard, {Disarm 1} [d] target opponent.","Mostly just for killing.","Wasan Techawibulchai","2dcf77991fd246f0bbdfb0b55cf17b0e","Gray","Green","S2","Spec",""
"235","Skill","Pitfall","Survivalist","-","1","1","+","",""," ","","","","Instant Aura","{Attach} to target empty tile. After an enemy enters {Pitfall}, deal 4 damage to and {Slow 2} [o] them.","","Dario Marzadori","fa8116633bf04fd7ac2c9144ace26e57","Gray","Green","S2","Spec",""
"236","Skill","Recover","Survivalist","-","1","1","+","","","","","Silence","","Ability","Draw a card, then discard a card. After {Recover} is sent to your discard, gain [p].","If you can't survive a stab in the gut, you can't survive a winter in The Skels.","Wasan Techawibulchai","c98f6e57b4004e0b871f598155fe14b0","Gray","Green","S2","Spec",""
"237","Skill","Retrieve","Survivalist","-","1","1","+","","","","","Silence","","Ability","Return a card that costs [p] from your discard to your hand.","It's a wonder what men will throw to the wind.","Mario Vazquez","7233c0a2bac64ab68a6ab34e7dda7c8c","Gray","Green","S2","Spec",""
"238","Skill","Sling Rock","Survivalist","-","1","1","+","2","","","Slow","","Disarm","Instant Debuff","Choose one: - {Silence 1} [i] target opponent. - {Disarm 1} [d] target opponent. After {Sling Rock} is sent to your discard, deal 2 damage to target enemy.","","Wojtek Depczynski","582e132c2e0646b5bf7682b6440ee59d","Gray","Green","S2","Spec",""
"239","Skill","Tread Lightly","Survivalist","","0","2","-","1","","","Slow","","","Travel","{Travel} to target tile. After {Tread Lightly} is sent to your discard, {Travel} up to one tile.","","Wasan Techawibulchai","e731df87af00439683a0db4d68188e86","Gray","Green","S2","Spec",""
"240","Skill","Wild Medicine","Survivalist","","0","2","-","1","","","","Silence","Disarm","Ability Buff","{Attach} to target player. {Duration} [du] - heal them 2 HP. After {Wild Medicine} is sent to your discard, remove up to two instances of {Control} from yourself.","","Septimius Ferdian","c5f5c3507c9b45a7b69a71cbf96f2ec5","Gray","Green","S2","Spec",""
"283","Feat","Power Incarnate","Incarnate","","","","","","40","","","","","Passive - Ultimate","At the start of your turn, gain [p] [p]. At the start of your turn, deal 4 damage to yourself.","Incarnate are mortals taken by eauath, forced to slaughter their brethren.","Wojtek Depczynski","6a3fd83ca4584ab2a58e630242dd1ecf","White","","S0","Ultimate",""
"284","Feat","Transcend","Avatar","","","","","","40","","","","","Passive - Ultimate","{Transcend} replaces your {Second Wind}. Draw three cards and heal yourself 5 HP.","Avatars are men and eauath combined, wise and one.","Wojtek Depczynski","3ca32f21572243d9bdb06995b2cdd6ec","White","Blue","S0","Ultimate",""
"285","Feat","Night Infusion","Ebon Mage","","","","","","34","","","","","Passive - Ultimate","After you resolve a card targeting an opponent, heal yourself HP equal to the {Resource} cost of the card. This can cause you to exceed your max HP.","","Septimius Ferdian","ea74f6edd1704c8c8668937670eb94d7","Black","","S0","Ultimate",""
"286","Feat","Cursed Dagger","Curseblade","-","1","1","+","1","38","","","Silence","Disarm","Ability Attack - Ultimate","Deal 4 damage to target enemy. You may play a {Ability} card targeting them for 1 less {Resource}. <(Action and power costs may not be reduced to zero in this way.)>","Curseblades seek knowledge and power, thirsty for the wealth of the Wintersea.","Wasan Techawibulchai","0410f678235e48a896eba51e840428d5","Black","Red","S0","Ultimate",""
"287","Feat","Gargantuan","Ancient","","","","","","50","","","","","Passive - Ultimate","You don't gain [n] at the start of your turn. All of your cards gain 1 {range} [r].","Ancients are giants that have lived for hundreds of years, always growing.","Wasan Techawibulchai","300c9ac95e2f48eda1590c56a4728ebd","Red","","S0","Ultimate",""
"288","Feat","Heraldic Mail","Jarl","","","","","","44","","","","","Passive - Ultimate","At the start of your turn, gain [mi].","Jarls are giants that have overthrown the oppression of men.","Wojtek Depczynski","67afa1f695a44cd9b6e3e92ac6f556b6","Red","Gray","S0","Ultimate",""
"289","Feat","Winterburst","Winterborn","","","","","","36","","","","","Passive - Ultimate","After you {Second Wind}, gain [p], then {Travel} all other characters up to one tile away from you.","Winterborn are sorcerers born with a link to the hated Winter magic.","Septimius Ferdian","dd81c41261a345b482d5103b0c4c3828","Blue","","S2","Ultimate",""
"290","Feat","Raven's Eye","Watcher","","0","1","-","4","40","","","Silence","","Ability - Ultimate","Target enemy {Reveals} a card from their hand. Gain [n] unless they {Reveal} an {Ability}.","Watchers have eyes and ears scattered across The Skels, always ready to make a move.","Septimius Ferdian","95734eb675ad4c059ecbbdd337247bbd","Blue","Gray","S2","Ultimate",""
"291","Feat","Wild Roots","Wilder","","","","","","36","","","","","Passive - Ultimate","All of your cards, except {Travel} cards that target a tile, also draw {range} [r] from tiles with {Terrain}. You may only target other characters if they're in {Terrain}.","Wilders are fay spirits driven mad by Winter.","Wojtek Depczynski","72920e4f4fe14d36b9240d9d9f39e206","Green","","S2","Ultimate",""
"292","Feat","Runic Slaughter","Huntsman","-","1","1","-","1","40","","","","Disarm","Debuff Attack - Ultimate","Deal 4 damage to target enemy. {Silence 2} [i] them.","Huntsmen aim to end the Winter by any means necessary.","Wojtek Depczynski","f9634f41a7de43afaee23ecf7c7ff18e","Green","Black","S2","Ultimate",""
"293","Feat","Shield Slam","Steward","-","1","1","-","1","42","","","Silence","Disarm","Ability Attack - Ultimate","Deal 5 damage to target enemy. If you have [mi], {Stun} them. <(They lose a resource of their choice.)>","Stewards are the elite of their clans, representing them on the field of battle.","Septimius Ferdian","b91eeaa5d9094e96ac2cf9a6c85b9ea1","Gray","","S2","Ultimate",""
"294","Feat","Persevere","Survivalist","","0","1","-","","40","H","","","","Instant Ability - Ultimate","After you play {Persevere}, {Reveal} a card from your hand. Heal yourself 2 HP and discard a {Revealed} card.","Survivalists venture to the most desolate isles of The Skels in search of fortune.","Septimius Ferdian","9bb020cc9f0041e4b1dafb3692d7294f","Gray","Green","S2","Ultimate",""
"1","Skill","Acid Burn","Brigand","-","1","1","+","2","","","","Silence","Disarm","Ability Debuff","Choose one: - {Destroy} target card. - {Poison} [pi] target opponent.","Local vigilantes spare none of the baron's propaganda. // Unrest in the towns across the Crossroads rumbles unlike ever before. // You won't rest until all the lies have been destroyed.","Wojciech Depczyński","0310b39985a54761a2d409bf9687434f","Black","","S3","Class",""
"2","Skill","Bruise","Brigand","-","1","3","-","1","","","","Silence","Disarm","Aura Attack","Deal 9 damage to target enemy. {Combo} - {Attach} to them. At the end of your turn, {Slow 1} [o] and {Disarm 1} [d] them.","","Septimius Ferdian","5ddbbf0e818a442783ed3d11759e9cd5","Black","","S3","Class",""
"3","Skill","Brutal Strike","Brigand","-","1","1","+","1","","","","","Disarm","Debuff Attack","Deal 5 damage to target enemy. {Disarm 1} [d] them.","""Yer gonna feel that'n tha mornin'!"" // ""Welcome to tha Crossroads, ya prissy knight."" // ""Yer blue blood's worth hogsbreath 'round here, lad!""","Wojciech Depczyński","49c9222353634a2194d0d2b268ab2afd","Black","","S3","Class",""
"4","Skill","Envenom","Brigand","-","1","1","-","1","","","","","Disarm","Debuff Attack","Deal 5 damage to target enemy. {Combo} - {Poison} [pi] them twice.","It's a sickly scent you've grown just a little too fond of. // It's all for science. At least, that's what you tell yourself. // Could you do the job without the toxins? Sure, but that's not why you're here.","Thomas Dumey","ac95ab21769c4abb8f76a6bb82287950","Black","","S3","Class",""
"5","Skill","Gambit","Brigand","+","1","1","+","1","","H","","","","Ability Buff","Gain {Luck} [lu], then target enemy may play a card for [00]. It gains {Heroic} [h]. <(That card ignores control.)>","""That's so crazy, it jus'n might werk!"" // Well. Here goes nothing. // You'd bet your last hen that this one counted their chicks 'fore they hatched.","Wasan Techawibulchai","a8a332c4d8634267934f7779d2e5652e","Black","","S3","Class",""
"6","Skill","Kneecap","Brigand","-","1","1","+","1","","","","Silence","Disarm","Ability Debuff","{Slow 2} [o] target opponent. {Combo} - they discard two cards.","“‘Round here, if ya got coin, ye'll soon find ya got no knees."" // 'Cap the knight, they said. He's a hack. They were right. // The satisfying crunch of bones after a cunning strike.","Thomas Dumey","cf0d93f1979b449d95b03721134efcc6","Black","","S3","Class",""
"7","Skill","Mug","Brigand","-","2","2","+","1","","","","Silence","Disarm","Ability Attack","Deal 4 damage to target enemy. Put two cards from the top of their deck into your hand.","“Get off! I jus'—I jus' need 'ta eat!"" // You weren't always this desperate. Now, you'll take anything. // Under the baron's reign, even food has become scarce among the peasantry.","Gustavo Guschch","b3f193d7c93b4caaa8981367b31e7d21","Black","","S3","Class",""
"8","Skill","Pay the Toll","Brigand","-","1","1","-","1","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller pays you two {Resources}. They must pay if able.","""Jus' a finger or a coin. Yer choice."" // “Yer money’r yer life in’ta difficult choice, 'n still ya chose wrong!"" // This bridge has always been lucrative. They just never learn.","Thomas Dumey","d03a5739f7514a259a8b9ae6d18403bb","Black","","S3","Class",""
"9","Skill","Pocket Sand","Brigand","-","1","1","+","2","","","Slow","","Disarm","Instant Debuff","Choose one: - {Silence 1} [i] target opponent. - {Disarm 1} [d] target opponent.","""Pocket sand!"" // Wizards don't last a day at the Crossroads. // ""Got sumfin' in yer eye, there?""","Wasan Techawibulchai","647ab31065ea46418b4840308f85f86d","Black","","S3","Class",""
"10","Skill","Poison Bomb","Brigand","-","1","1","+","2","","","","Silence","Disarm","Aura Debuff","{Poison} [p] each opponent {near} target empty tile, then {Attach} to that tile. At the start of your turn, {Poison} [pi] each opponent {near} {Poison Bomb}.","Alchemy has a bad name in these parts. // Fence said, just throw it at them. // Nearly threw the antidote. Whew.","Wasan Techawibulchai","da27abd5ef2b4c9ba5aab1ebbee9384a","Black","","S3","Class",""
"11","Skill","Poison Strike","Brigand","-","1","1","+","1","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. {Poison} [pi] them.","Altan concoctions can turn even the pettiest thief into a venomous snake. // The alleys aren't good for the honest at this hour. // The contract was clear. This is the target, just as planned.","Anderton Oliveira","6a86af9aebc94288b252ce4625543948","Black","","S3","Class",""
"12","Skill","Ribcrack","Brigand","-","1","2","-","1","","","","Silence","Disarm","Ability Debuff","{Stun} target opponent. <(They lose a resource of their choice.)> {Combo} - {Silence 2} [i] and {Disarm 3} [d] them.","""Hah! That'un's gonna hurt'n the mornin'. Now pay up!"" // Better dishonorable than dead. Chivalry was never your style. // You're not here for a fair fight. You're here to get paid.","Wasan Techawibulchai","856ce60769194882a964e809ab06d9f4","Black","","S3","Class",""
"13","Skill","Scramble","Brigand","-","1","1","+","2","","","Slow","","Disarm","Instant Travel Debuff","{Travel} to another target tile. {Slow 1} [o] yourself.","""This innit what I signed up fer!"" // The yeomen had finally caught your trail, the bootlickers. // Nearly away! Turn this bend, clear the hill and—uh oh.","Septimius Ferdian","09d2136ed3cd4cf2978cbd6c634d1b94","Black","","S3","Class",""
"14","Skill","Shiv","Brigand","","0","1","-","1","","","","","Disarm","Debuff Attack","Deal 2 damage to target enemy. {Poison} [pi] them.","Whether impulse, greed or revenge, many have found a knife in these quiet darks. // Blood money abounds when the law loses its grip. // ""Heh heh. Alone, at this hour? Ye've made a bad choice, friend.""","Gustavo Guschch","246c1777d1344542aa6d3ccd33154702","Black","","S3","Class",""
"15","Skill","Stun Bomb","Brigand","-","1","1","+","2","","","","Silence","","Ability Aura","{Stun} each opponent {near} target empty tile, then {Attach} to that tile. At the start of your turn, {Stun} each opponent {near} {Stun Bomb}.","""Ya think I won't do it? I'll do it!"" // For when a little chaos is needed. // It cracks and sparks, screams and shouts.","Wasan Techawibulchai","82bee2677fd343568cdfa7eceeb6c63c","Black","","S3","Class",""
"16","Skill","The Shakes","Brigand","","0","3","-","2","","","","","Disarm","Debuff","{Poison} [pi] target opponent twice, then {attach} to them until they have no {Poison}. At the end of your turn and after they {move}, {Slow 1} [o] them.","","Wojciech Depczyński","1ef9ea91f77542568c0028f57dc91349","Black","","S3","Class",""
"17","Skill","Throat Slash","Brigand","-","1","2","-","1","","","","","Disarm","Debuff Attack","Deal 6 damage to target enemy. {Silence 2} [i] them.","""I started out slashin' purses. Seems like the natural step forward."" // They're done making threats. It's hard when you can't speak. // ""I'm sick o' yer attitude, lad. This tavern is fer free folk, not lawmen.""","Gustavo Guschch","6966454be4944aefbb98a024085054f8","Black","","S3","Class",""
"18","Skill","Throwing Dagger","Brigand","","0","2","-","2","","H","","","","Instant Ability Attack","Deal 3 damage to target enemy. {Stun} them. <(They lose a resource of their choice.)>","""Ye don't get this good stickin' chickens. Well, I did, but yer another story, kid."" // You've saved this one for the local sheriff. Time for payback. // Passed down in a family for generations, and looted with irreverence.","Wojciech Depczyński","6144cf23865c49718da3cb6fd54c946f","Black","","S3","Class",""
"19","Skill","Toothy Grin","Brigand","","0","1","+","","","","","Silence","Disarm","Ability Buff","Only play {Toothy Grin} immediately after successfully {Attacking} an enemy. Gain [n] and {Luck} [lu].","""Oy, that was too good."" // You can't help but crack a crooked smile when everything goes as planned. // ""Ye need a hand there? Yer lookin' a bit worse fer wear.""","Wojciech Depczyński","4645adb110dc45a2b6a851eeedb36122","Black","","S3","Class",""
"20","Skill","Waylay","Brigand","-","2","2","+","","","","Slow","Silence","","Travel Ability Aura","{Travel} one tile towards target enemy. Then, if you're {near} them, {Stun} and {attach} to them. Your {Attack} cards targeting them deal 1 more damage.","","Thomas Dumey","78e48ad788814efdb9473658b44f8c9a","Black","","S3","Class",""
"21","Skill","Aim","Yeoman","+","1","2","-","","","","","Silence","Disarm","Ability Buff","Draw a card. Gain {Luck} [lu].","All according to plan. Damn, you're good. // If you made it look any easier, perhaps your hawk would consider taking up the bow. // Perfect silence. Perfect focus. Perfect shot.","Septimius Ferdian","db68737972814c338baa817baf757b14","Green","","S3","Class",""
"22","Skill","Breathe","Yeoman","-","1","3","+","","","","","Silence","","Ability","You may only play {Breathe} if no enemies are within two tiles of you.","""Bless tha Lady and Her name, can't have shite in the Kingswood... "" // You've escaped the brigands, if only for now. Clearing this camp won't be easy. // ""Could these backroads wind on any longer? Have mercy...""","Wasan Techawibulchai","66e387ae518847018f6868e6286fb8d4","Green","","S3","Class",""
"23","Skill","Broadhead","Yeoman","-","1","1","-","3","","","","Silence","Disarm","Aura Attack","Deal 5 damage to target enemy, then {Attach} to them. After they spend [a] to {move}, deal 1 damage to them.","They won't last long with that wound. // ","Wojciech Depczyński","75c87a9122d043cda0b1e10497ab3c81","Green","","S3","Class",""
"24","Skill","Bullseye","Yeoman","-","1","3","-","","","","","Silence","","Ability","You may play an {Attack} card targeting an enemy. It gains {Precise} and deals 8 more damage. After it resolves, gain [n] [n].","The center red. Every time. // Marksmanship most exquisite. // Every target has a focal point.","Septimius Ferdian","010cf756b2e649ff9ea904206b2f3360","Green","","S3","Class",""
"25","Skill","Dodge","Yeoman","-","1","1","-","","","","Slow","Silence","","Instant Travel Ability","Choose one: - {Counter} target card targeting you unless its controller pays 2 {Resources}. - {Travel} up to two tiles.","","Gustavo Guschch","c2daafeee05a4c7094d8731b6f554c63","Green","","S3","Class",""
"26","Skill","Dukebane","Yeoman","","0","3","-","3","","","","","Disarm","Debuff","{Poison} [pi] target opponent twice, then {attach} to them until they have no {Poison}. At the end of their turn, their {Poison} triggers an additional time.","","Wojciech Depczyński","7cb836fe3db44175b49fc37825a5318f","Green","","S3","Class",""
"27","Skill","Foray","Yeoman","-","1","1","+","3","","","Slow","Silence","","Travel Ability","Choose one or both: - {Destroy} target card. - {Travel} one tile.","You've been itching to give these lawless cur what for. Time for some county justice. // ""Oy! It's that damned yeoman again! Get 'im!"" // You'll outsmart and outrun these dogs every time.","Thomas Dumey","a4de59c8f3924b768987c99ca250d795","Green","","S3","Class",""
"28","Skill","Ivybrew","Yeoman","-","2","2","+","","","","","","Disarm","Buff","{Attach} to yourself with [o] [i] [d] [pi] [pi]. After you successfully {Attack} an opponent, give them a token from {Ivybrew}. When {Ivybrew} has no tokens, {Destroy} it.","","Wasan Techawibulchai","a4b1912e80114cdfb62971456a9a110f","Green","","S3","Class",""
"29","Skill","Nettle","Yeoman","-","1","1","+","3","","","Slow","","Disarm","Instant Debuff","{Slow 2} [o] target opponent. If you {Precisely} resolve {Nettle}, {Poison} [p] them.","""Aye, 'e used to be a yeoman like us. Now, we stick an arrow in 'is knee."" // Now that the knights have gone to war, only you stand as the law. // More and more forts are abandoned as the war rages on.","Thomas Dumey","5c95f100e7704737b8295915438e4a83","Green","","S3","Class",""
"30","Skill","Puncture","Yeoman","-","2","2","+","3","","","","Silence","Disarm","Ability Attack","{Precise} Deal 7 damage to target enemy. {Stun} them. <(They lose a resource of their choice.)>","Calbrian arrows are known across Valion. Likely as they can be shot the distance. // Though your feet may tire, your arrows never shall. // ""Stay back or I'll make you! I'm tired of your threats!"" ","Wasan Techawibulchai","5447c719fb9344179c5266010241cf17","Green","","S3","Class",""
"31","Skill","Rain of Arrows","Yeoman","-","2","2","+","2","","","","Silence","","Aura","{Attach} to target empty tile. At the start of your turn, deal 3 damage to each enemy {near} {Rain of Arrows}. After you successfully and {Precisely} {Attack} an enemy, you may {Reattach} {Rain of Arrows} to an empty tile {near} them.","","Wojciech Depczyński","14ccf3262375457eaa2d0ac259764e1d","Green","","S3","Class",""
"32","Skill","Restring","Yeoman","","0","1","-","","","","","Silence","Disarm","Ability Buff","Look at the top three cards of your deck. Put one into your hand and the rest into your discard. Gain {Luck} [lu].","The best shots only land with the best care. // Every tool must be maintained. // It's actually more fun than it looks.","Wojciech Depczyński","233cc4e044e9453eb2798ce60206a793","Green","","S3","Class",""
"33","Skill","Retriever Hawk","Yeoman","-","1","1","-","","","H","","","","Ability","Return a card from your discard to your hand. Gain {Luck} [lu].","Hawks raised in Calbrian aeries are said to bring good fortune across the realm. // Your companion always knows exactly what you'll need, the old grump. // ""What'd you bring back this time, Earl? Oh, good job, lad!""","Wojciech Depczyński","80b3f5e71ccc4bf5b3b9eb8e32c70c17","Green","","S3","Class",""
"34","Skill","Scatter","Yeoman","","0","1","-","3","","","Slow","","","Travel","{Travel} target enemy one tile away from you.","Altan alchemy isn't just illicit poisons and parlor tricks. // Calbrians aren't used to such garish displays of science. // The sound itself is enough to evoke a fight or flight response.","Gustavo Guschch","92245b8dfe7c46d6a06b582d2a6dc33e","Green","","S3","Class",""
"35","Skill","Stakes","Yeoman","-","1","2","+","1","","","","Silence","","Aura","{Attach} to target empty tile. After an opponent enters {Stakes}, {Disarm 2} [d] them. If they {Travelled} into {Stakes}, also deal 3 damage to them.","An archer's shield against the world. // ","Anderton Oliveira","e599a2fe49624476b35d1d7c3234e174","Green","","S3","Class",""
"36","Skill","Step Shot","Yeoman","-","1","1","+","3","","","Slow","","Disarm","Travel Attack","Deal 3 damage to target enemy. {Travel} up to one tile.","There's a rhythm to it, and you haven't lost your footing in a long while. // You've roamed these rolling fields for as long as you can remember. // Each step leaves your quiver a little lighter for the next.","Thomas Dumey","b7193b9be54b427db4da5b68ee54c8c1","Green","","S3","Class",""
"37","Skill","Throat Shot","Yeoman","-","1","1","+","3","","","","","Disarm","Debuff Attack","Deal 3 damage to target enemy. {Silence 1} [i] them.","You grew up tending the fields with that one. But now, they'll be feeding the daisies. // He used to be a good lad. But this is the end he deserves now. // You aimed for the heart, but you won't lose sleep over his suffering.","Wojciech Depczyński","332c8929de964531a6fa489d40117e84","Green","","S3","Class",""
"38","Skill","Twinfang","Yeoman","","0","2","-","3","","","","","Disarm","Debuff","{Disarm 2} [d] target opponent. {Poison} [pi] them twice.","They don't mean the garden variety when mums tell their kids to 'fear the snake'. // For when firing one arrow at a time just gets too easy. // One for the baron and one for his favorite lackey.","Wojciech Depczyński","ae149bbfddd94871aef4a46e951febb8","Green","","S3","Class",""
"39","Skill","Volley","Yeoman","-","2","2","-","3","","","","Silence","Disarm","Ability Debuff","{Slow 1} [o] target enemy. Choose up to three {Attack} cards in your discard with a total {Resource} cost of three or less. In any order, play and immediately resolve each card for [00]. If that card would be put into your discard, instead put it on the bottom of your deck.","","Thomas Dumey","70dd8a7b877142f0a0ee029460234481","Green","","S3","Class",""
"40","Skill","Whistler","Yeoman","-","1","2","-","3","","","Slow","","Disarm","Instant Debuff Attack","{Silence 3} [i] target enemy. If you {Precisely} resolve {Whistler} , deal 6 damage to them.","It would be the last thing they ever hear, but it does seem to rob them of that. // It's important to give the people a show every now and again. // If the baron's to fall, you'll ensure they fall in style.","Gustavo Guschch","50722ffdd68745e49f359278b7c14944","Green","","S3","Class",""
